"iso3c","PC1","PC2","cut","cluster","countryname"
"SDN",-3.50252220642115,0.304387073148168,"A","A","Sudan"
"SEN",0.577137997082457,-1.80133354155326,"F","D","Senegal"
"SGP",0.885174262685342,1.14318163160078,"C","E","Singapore"
"SLB",0.225087942941184,-1.70279330483459,"F","D","Solomon Islands"
"SLE",-0.141928081010539,-1.34089452068814,"F","D","Sierra Leone"
"SLV",-0.657486638838536,0.322185517890408,"B","C","El Salvador"
"SOM",-3.33430661697159,-0.519445692764424,"A","A","Somalia"
"SRB",0.845371204397765,1.29622758234089,"C","E","Serbia"
"SSD",-4.32685908392579,1.24552646716857,"A","A","South Sudan"
"STP",0.614430674598705,-0.512599784690505,"C","E","Sao Tome and Principe"
"SUR",0.600668512961749,-1.118159005891,"C","E","Suriname"
"SVK",2.43837142090666,1.34214703836556,"E","F","Slovak Republic"
"SVN",3.1366993644167,1.06225184157457,"E","F","Slovenia"
"SWE",3.18065632758278,0.232967034822334,"E","F","Sweden"
"SWZ",-1.23047965593934,-0.196031056622431,"B","C","Eswatini"
"SYC",1.11633936703383,-0.176762206015853,"C","E","Seychelles"
"SYR",-3.73681005479307,2.43107005244116,"A","A","Syrian Arab Republic"
"TCD",-2.89210604547827,-0.282146776729215,"A","A","Chad"
"TGO",-1.62180330281357,0.0724518361379275,"A","A","Togo"
"THA",-1.74581405748117,1.12363533343146,"A","A","Thailand"
"TJK",-2.16664363748464,1.76579974720094,"A","A","Tajikistan"
"TKM",-2.33864593651838,2.40287381851107,"D","B","Turkmenistan"
"TLS",0.322794747401629,-0.340860425993253,"C","E","Timor-Leste"
"TTO",1.98160309409764,-0.437771470199087,"C","E","Trinidad and Tobago"
"TUN",1.81322805954098,-0.527412066874282,"C","E","Tunisia"
"TUR",-2.476008432948,1.29358961018845,"A","A","Turkey"
"TZA",-0.942657620078496,-1.19950613164529,"B","C","Tanzania"
"UGA",-2.07472578561961,-1.34935564896939,"B","C","Uganda"
"UKR",0.373527599858735,1.66819160424958,"D","B","Ukraine"
"URY",2.3384343099617,-0.453959281507107,"C","E","Uruguay"
"USA",1.65801708111259,-0.632612217881562,"C","E","United States"
"UZB",-1.29182064366825,1.55764457090879,"D","B","Uzbekistan"
"VEN",-1.2515706855479,1.76001540733524,"D","B","Venezuela"
"VNM",-1.39629191496398,0.942032172632442,"A","A","Viet Nam"
"VUT",1.46148504470246,-1.43529108376976,"C","E","Vanuatu"
"WSM",1.61634738860437,0.439090195237287,"C","E","Samoa"
"YEM",-4.33008898164139,-0.143345998385022,"A","A","Yemen"
"ZAF",0.112888982838073,-2.00951946456689,"F","D","South Africa"
"ZMB",-1.1941086176423,-1.75917338149557,"B","C","Zambia"
"ZWE",-2.00493528642883,-1.46661512532665,"B","C","Zimbabwe"
