"iso3c","PC1","PC2","cut","cluster","countryname"
"PNG",-0.66825670583943,-2.44607500773507,"D","D","Papua New Guinea"
"POL",2.36682367316374,0.370030479206388,"E","F","Poland"
"PRK",-4.27910253866086,0.771153118938377,"F","A","Democratic People’s Republic of Korea"
"PRT",3.48649199201117,0.913090902158276,"E","F","Portugal"
"PRY",0.165213938107615,-1.15832498602389,"D","D","Paraguay"
"PSE",-2.57837612667369,0.098752244657433,"B","C","West Bank and Gaza Strip"
"QAT",-1.66445641635788,0.203816154075097,"B","C","Qatar"
"ROM",0.423775904484338,-0.0377215097654037,"C","E","Romania"
"RUS",-2.01741008747457,0.576645733665975,"B","C","Russia"
"RWA",-0.670275835511517,3.76567751958874,"B","C","Rwanda"
"SAU",-3.05676574959684,1.15105812822103,"B","C","Saudi Arabia"
"SDN",-3.91517263055583,1.05441642672719,"F","A","Sudan"
"SEN",0.732773361195455,1.13334359610621,"C","E","Senegal"
"SGP",1.92989493429929,1.25345442597793,"E","F","Singapore"
"SLB",-0.161154511008015,-1.99641143490381,"D","D","Solomon Islands"
"SLE",-0.880102945055452,-0.875363727876744,"D","D","Sierra Leone"
"SLV",0.272592218361977,0.371428673852368,"C","E","El Salvador"
"SOM",-3.75983103668255,-0.189150272067708,"F","A","Somalia"
"SRB",0.40611834918776,0.529179327803219,"C","E","Serbia"
"SSD",-4.62387501775371,0.415446918110589,"F","A","South Sudan"
"STP",1.45612768803678,-0.926188752804197,"C","E","Sao Tome and Principe"
"SUR",1.35924152476789,-0.397710031537359,"C","E","Suriname"
"SVK",2.70858583005959,-0.484966392548858,"E","F","Slovak Republic"
"SVN",2.95140988987298,0.0071028998232591,"E","F","Slovenia"
"SWE",4.2946410306486,1.36965064800307,"E","F","Sweden"
"SWZ",-1.09946866595147,-0.660714125589711,"D","D","Eswatini"
"SYC",1.13723609876988,0.108206550168946,"C","E","Seychelles"
"SYR",-4.64116451647029,-0.503180661045865,"F","A","Syrian Arab Republic"
"TCD",-4.23699499667141,-0.0251494203507798,"F","A","Chad"
"TGO",-2.51202440081515,0.287820051889246,"B","C","Togo"
"THA",-2.40950259057484,-0.157961544146963,"B","C","Thailand"
"TJK",-3.78996707334643,0.627328019561482,"F","A","Tajikistan"
"TKM",-3.36517971506457,1.1917079712413,"B","C","Turkmenistan"
"TLS",0.506694684614856,0.51018566564513,"C","E","Timor-Leste"
"TTO",1.67614601294527,0.293136356807999,"C","E","Trinidad and Tobago"
"TUN",0.781361078470892,0.148474176156065,"C","E","Tunisia"
"TUR",-1.86487017594833,0.230411454654462,"B","C","Turkey"
"TZA",-0.0752799501225901,0.553967164147588,"D","D","Tanzania"
"UGA",-0.48816999270781,0.259055790122626,"D","D","Uganda"
"UKR",-1.35735851432382,-0.874269132752601,"D","D","Ukraine"
"URY",3.20346815429823,-0.438111070389202,"E","F","Uruguay"
"USA",3.15977856411511,-0.359969001576859,"E","F","United States"
"UZB",-2.44845404154879,0.889760253605278,"B","C","Uzbekistan"
"VEN",-3.48931188944349,-0.0323288566460058,"F","A","Venezuela"
"VNM",-0.493361294823056,1.01818930254528,"D","D","Viet Nam"
"VUT",1.14104111227615,-1.9317965861216,"D","D","Vanuatu"
"WSM",1.58344785904686,-0.86111221004788,"C","E","Samoa"
"YEM",-5.2426380334855,-1.44500192911337,"F","A","Yemen"
"ZAF",1.71696495379938,0.612303695848926,"C","E","South Africa"
"ZMB",-0.899418295586508,-0.308763284038488,"D","D","Zambia"
"ZWE",-2.23919225977007,0.350678730299108,"B","C","Zimbabwe"
