"iso3c","PC1","PC2","cut","cluster","countryname"
"TCD",-3.01479099763043,0.451638317607814,"D","C","Chad"
"TGO",-0.05506533274346,0.98708610226598,"E","D","Togo"
"THA",-0.775841618696437,-0.396285247497084,"D","C","Thailand"
"TJK",-0.801846661427824,-0.157445603142234,"D","C","Tajikistan"
"TKM",0.880840755147765,0.541643447146511,"B","E","Turkmenistan"
"TLS",-0.334942648577682,1.55525543411132,"E","D","Timor-Leste"
"TTO",0.493541147371737,2.00817374766691,"E","D","Trinidad and Tobago"
"TUN",-0.125892680960626,-0.366292682899795,"B","E","Tunisia"
"TUR",-1.42179932316124,-1.6641818039323,"D","C","Turkey"
"TZA",-1.06758206561321,1.0240422651686,"E","D","Tanzania"
"UGA",-1.33814522074851,1.1196662629507,"E","D","Uganda"
"UKR",-1.58892239547826,-1.77536725399345,"D","C","Ukraine"
"URY",1.97739388323333,-0.278380226523297,"C","F","Uruguay"
"USA",0.768736059156619,-1.78291552317274,"B","E","United States"
"UZB",1.24748024463182,-0.721053246577037,"C","F","Uzbekistan"
"VEN",-2.90963707685796,3.35321213151061,"E","D","Venezuela"
"VNM",0.631359096930268,0.267979649921085,"B","E","Viet Nam"
"VUT",0.647954411430051,0.889941215915819,"B","E","Vanuatu"
"WSM",0.699067241080815,0.847535816283704,"B","E","Samoa"
"YEM",-6.54964077813676,-1.22259828673957,"A","B","Yemen"
"ZAF",-0.552460902823352,1.30024475105197,"E","D","South Africa"
"ZMB",0.176181766926372,1.0998558109707,"B","E","Zambia"
"ZWE",-0.12855702001684,0.632381127545081,"B","E","Zimbabwe"
