group,ymin,ymax,y25,y50,y75,wgtmean,dimension
East Asia & Pacific,10.4497126924145,56.9226505837701,27.0933087323855,34.7187092963523,45.1384782801396,30.3287881469977,Aggregate
Europe & Central Asia,0,50.8876656680029,7.67810215592219,14.749005364681,30.8248900453115,26.3712273114772,Aggregate
Latin America & Caribbean,3.47140255941136,75.9995893382943,22.2332073352083,26.5781928837876,38.684770252523,29.6768991322098,Aggregate
Middle East & North Africa,9.8186544138276,100,32.9689505302779,43.790867974438,58.4509288472381,47.5566077609864,Aggregate
South Asia,17.837141396979,77.792747241505,33.9914818431937,38.4003702107083,53.9590922804281,42.481140292375,Aggregate
Sub-Saharan Africa,1.20593779395165,96.5509564256512,42.1396639655179,51.5917053173171,58.0450247400465,54.6669325508619,Aggregate
