group,ymin,ymax,y25,y50,y75,wgtmean,dimension
East Asia & Pacific,5.8217031644638,63.2753751799666,28.8064999349174,34.414759991533,50.2186247580813,33.644874557035,Environmental
Europe & Central Asia,0,53.3064790295915,9.76271930207557,14.2257659113789,21.8285959953313,20.8273990278005,Environmental
Latin America & Caribbean,6.88591434982817,76.178652809624,18.3539857781967,24.236535888069,31.5799402103506,19.9485511530035,Environmental
Middle East & North Africa,6.32106115822954,79.0884234395035,20.4816186729425,26.0414182379578,51.7122149250469,31.1067868637104,Environmental
South Asia,14.3166369978247,76.9798665770252,36.7023994291093,54.7729879063617,58.1251471177465,55.9858545551265,Environmental
Sub-Saharan Africa,1.19757246466014,100,53.7805930880621,61.9907084032564,71.7158850942418,65.4842431491769,Environmental
