group,ymin,ymax,y25,y50,y75,wgtmean,dimension
East Asia & Pacific,14.2720125470988,87.8990742116039,22.238067479052,40.354407625046,56.5396413935558,56.1461580333496,Political
Europe & Central Asia,19.0189011235712,81.7560810390278,33.882102959849,42.2198572364176,60.1805653084089,55.5796860532807,Political
Latin America & Caribbean,0,77.9801889334981,21.2998843333201,26.2437261999166,46.0459608619591,30.0884306603874,Political
Middle East & North Africa,24.3453234523393,100,58.6042250075017,64.0210512070658,66.5398568206894,63.0772910943814,Political
South Asia,8.02472491151283,65.562988707938,26.8034329616099,41.9073777216528,59.2050669490624,34.8523109171513,Political
Sub-Saharan Africa,5.4565654941289,92.229030093658,33.2010210761723,47.6109573953634,68.3696127411789,51.2321385050791,Political
