group,ymin,ymax,y25,y50,y75,wgtmean,dimension
East Asia & Pacific,5.02494227798262,88.1616522493803,25.6852552983036,31.6918262752622,58.7245797634702,54.1180206999304,Societal
Europe & Central Asia,0,70.3870694699545,7.94562203181361,22.3697440083142,51.4735056751224,46.9211818079694,Societal
Latin America & Caribbean,0.72305571043421,71.1060015237963,27.3604294773547,34.5409236515042,48.3839018242982,35.519315211973,Societal
Middle East & North Africa,1.88041134848055,100,37.8290634751417,57.1756547294809,70.4968678905899,63.4455369482125,Societal
South Asia,20.1917094847261,64.180106482275,32.5150279060196,46.8597120319535,58.7932088568267,42.4988357160293,Societal
Sub-Saharan Africa,1.32866889786307,99.9484128471449,32.2003786366595,47.6527030924112,70.574893659238,53.368655834291,Societal
