iso3c,2019
YEM,-4.93428814719645
SSD,-4.71019887493815
SOM,-4.51460469575541
CAF,-4.18989935930305
COD,-3.89839320172937
SYR,-3.6111931008518
TCD,-3.50295530820229
AFG,-3.49145131386435
HTI,-3.374947291573
BDI,-3.23977865660237
IRQ,-2.92817740560514
SDN,-2.73189707579864
COG,-2.66020821057471
MLI,-2.47366141848774
VEN,-2.40213554420318
ZWE,-2.39741396468621
GNQ,-2.39725564619083
LBY,-2.23478583147065
CMR,-2.20884454729889
UGA,-2.20798277996414
PRK,-2.13549141653403
PAK,-2.11675823211986
ERI,-2.11115062051144
NGA,-2.03610833541803
MOZ,-1.9319603943058
MDG,-1.92924945993456
KEN,-1.9111043401677
ETH,-1.9063814817741
GNB,-1.89874320059088
GIN,-1.89551107248947
BGD,-1.8850070075654
PNG,-1.87225883786938
MRT,-1.83233988322998
HND,-1.83013095687076
LBR,-1.82752120952668
PSE,-1.80740467767441
NIC,-1.80125247164303
GTM,-1.79837077022521
ZMB,-1.78913231166291
COM,-1.75801147548215
NER,-1.74510541950755
TJK,-1.74338985314878
SLE,-1.70113343984272
LAO,-1.66042950526625
AGO,-1.62167423878497
BFA,-1.5942642461041
SWZ,-1.55235318041862
LSO,-1.52604152975796
TGO,-1.47408876655164
TZA,-1.44334427359873
MMR,-1.43329910126417
CIV,-1.37729086752988
SLB,-1.36985696216637
IRN,-1.3686440793618
DJI,-1.28230080167068
KHM,-1.23435126873152
GMB,-1.21670478683775
